Service Unit,Bill Unit,Pay Unit,Bill Rate,Pay Rate,Payroll OTUnits,Payroll UnitsWithoutOT,Payroll OTAmount,Payroll RegAmount,Total Payroll Amount,Gender,Age,Marital Status,Race,IsCaregiverTerminated,CaregiverTenureYears,Caregiver Attributes_Can do Nights,Caregiver Attributes_Can do Days
Personal Care,Hourly,Hourly,33,21,0,12,0,252,252,Female,46,Divorce,Eastern European Canadian,0,0,0,1
Personal Care,Hourly,Hourly,31,17,0,5,0,85,85,Female,28,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,32,18,0,10,0,180,180,Female,43,Single,Middle Eastern Canadian,1,4,0,1
Post Operative Care,Hourly,Hourly,36,20,0,13.5,0,270,270,Female,44,Divorce,Eastern European Canadian,0,3,0,1
Personal Care,Hourly,Hourly,38,21,0,12,5.25,252,257.25,Female,41,Married,African Canadian,0,1,1,0
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,31,20,0,6,0,120,120,Female,43,Single,Middle Eastern Canadian,0,1,1,1
Personal Care,Hourly,Hourly,40,21,0,12,0,252,252,Female,38,Married,Middle Eastern Canadian,0,2,1,1
Personal Care,Hourly,Hourly,36,20.5,0,7,0,143.5,143.5,Female,58,Unknown,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,40,22.5,0,4,0,90,90,Male,55,Single,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,36,21,0,4,0,84,84,Female,58,Unknown,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,35,20,0,8,0,160,160,Female,43,Married,Middle Eastern Canadian,1,3,0,1
Personal Care,Hourly,Hourly,32,18,0,6,0,108,108,Male,59,Married,Middle Eastern Canadian,1,5,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,41,19,0,12,0,228,228,Female,69,Married,Asian Canadian,1,12,0,1
Personal Care,Hourly,Hourly,41,18,0,12,0,216,216,Female,55,Single,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,36,22,0,7,0,154,154,Male,56,Married,African Canadian,0,9,1,1
Personal Care,Hourly,Hourly,32,21,0,12,0,252,252,Male,40,Married,Asian Canadian,1,11,1,0
Personal Care,Hourly,Hourly,34,21,0,4,0,84,84,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,36,21,0,9.5,0,199.5,199.5,Female,46,Married,British Canadian,1,3,0,1
Personal Care,Hourly,Hourly,36,22,0,8,0,264,264,Female,60,Unknown,Hispanic or Latino Canadian,0,3,1,0
Personal Care,Hourly,Hourly,36,21.5,0,4,0,86,86,Female,53,Unknown,Middle Eastern Canadian,0,2,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Supervisory Visit,Hourly,Hourly,60,35,0,0.5,0,17.5,17.5,Female,56,Married,Middle Eastern Canadian,0,10,0,1
Personal Care,Hourly,Hourly,32,20,0,12,0,240,265,Male,56,Married,African Canadian,0,9,1,1
Personal Care,Hourly,Hourly,31,20,0,12,0,240,240,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
Personal Care,Hourly,Hourly,41,20,0,12,0,240,240,Female,69,Married,Asian Canadian,1,12,0,1
Personal Care,Hourly,Hourly,40,22.5,7,5,157.5,112.5,270,Male,55,Single,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,35,21.5,0,4,0,86,86,Female,44,Divorce,Eastern European Canadian,0,3,0,1
Palliative,Hourly,Hourly,34.5,21,0,2,0,42,42,Male,56,Married,African Canadian,0,9,1,1
Personal Care,Hourly,Hourly,40,21,0,4,0,84,84,Female,35,Married,Middle Eastern Canadian,0,0,0,1
Personal Care,Hourly,Hourly,41,20,0,12,0,240,240,Female,69,Married,Asian Canadian,1,12,0,1
Personal Care,Hourly,Hourly,35,23,0,12,0,276,276,Male,59,Married,Middle Eastern Canadian,1,5,1,1
Personal Care,Hourly,Hourly,32,22,0,10,0,220,220,Female,43,Married,Middle Eastern Canadian,1,5,0,1
Respite Personal Care,Hourly,Hourly,38,21,0,4,0,84,84,Female,42,Single,Middle Eastern Canadian,0,0,1,1
Personal Care,Hourly,Hourly,41,20,0,12,0,240,240,Female,45,Married,Asian Canadian,1,11,0,1
Personal Care,Hourly,Hourly,33,21,0,12,0,252,252,Male,59,Married,Middle Eastern Canadian,1,5,1,1
Personal Care,Hourly,Hourly,35,0,0,5,0,0,10.92,Male,55,Single,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,38,21,0,7,0,147,147,Female,57,Divorce,British Canadian,0,2,1,0
Personal Care,Hourly,Hourly,32,19,0,12,0,228,228,Female,43,Single,Middle Eastern Canadian,0,1,1,1
Personal Care,Hourly,Hourly,35,21,0,4,0,84,84,Female,49,Unknown,Middle Eastern Canadian,1,3,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Other,Visit,Visit,130,40,0,1,0,40,40,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,38,21,0,4.05,0,85.05,85.05,Female,58,Unknown,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,40,21,0,4,0,84,84,Female,43,Married,Middle Eastern Canadian,0,1,0,1
Palliative,Hourly,Hourly,34.5,22,0,8,0,176,176,Female,54,Married,Middle Eastern Canadian,1,3,0,1
Personal Care,Hourly,Hourly,38,21,0,4,0,84,84,Male,28,Single,Middle Eastern Canadian,0,2,1,1
Personal Care,Hourly,Hourly,31,17,0,5,0,85,85,Female,28,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,36,0,0,9.5,0,0,50,Male,59,Married,Middle Eastern Canadian,1,5,1,1
Personal Care,Hourly,Hourly,35,21,0,4,0,84,84,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,41,19,0,12,0,228,228,Female,69,Married,Asian Canadian,1,12,0,1
Personal Care,Hourly,Hourly,32,20,0,12,0,240,240,Female,43,Married,Middle Eastern Canadian,1,5,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,40,23,0,8,0,184,187.36,Female,50,Married,Middle Eastern Canadian,0,1,0,0
Palliative,Hourly,Hourly,44,21.5,0,4,0,86,86,Female,48,Married,Asian Canadian,0,1,0,0
Personal Care,Hourly,Hourly,34,20,0,3,0,60,70,Female,44,Unknown,Asian Canadian,1,2,1,1
Personal Care,Hourly,Hourly,28,19,0,5,0,95,95,Male,33,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,33,18,0,12,0,216,216,Male,59,Married,Middle Eastern Canadian,1,5,1,1
Personal Care,Hourly,Hourly,33,21,0,12,0,252,252,Female,46,Divorce,Eastern European Canadian,0,0,0,1
Personal Care,Hourly,Hourly,33,21,0,3,0,63,63,Female,59,Married,Caribbean Canadian,1,4,0,1
Personal Care,Hourly,Hourly,37,21.5,0,4,0,86,102,Female,59,Married,Middle Eastern Canadian,0,2,0,0
Personal Care,Hourly,Hourly,37,21.5,0,9.5,0,204.25,204.25,Female,43,Married,Middle Eastern Canadian,0,2,0,1
Personal Care,Hourly,Hourly,36,20.5,0,5,0,102.5,102.5,Female,50,Married,Middle Eastern Canadian,0,2,0,1
Personal Care,Hourly,Hourly,36,21.5,0,8,0,172,172,Female,60,Unknown,Hispanic or Latino Canadian,0,3,1,0
Personal Care,Hourly,Hourly,36,22,0,4,0,88,88,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,33,21,0,11,0,231,231,Male,40,Married,Asian Canadian,1,11,1,0
PSW Visit,Visit,Visit,50,30,0,1,0,30,40,Female,54,Unknown,African Canadian,1,2,1,0
Personal Care,Hourly,Hourly,32,21,0,10,0,210,210,Female,59,Married,Asian Canadian,0,7,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,43,Married,Middle Eastern Canadian,1,3,0,1
Personal Care,Hourly,Hourly,39,22,0,12,0,264,264,Female,57,Divorce,British Canadian,0,2,1,0
Palliative,Hourly,Hourly,38,21,0,4,0,84,84,Male,52,Married,African Canadian,1,8,1,0
Personal Care,Hourly,Hourly,33,19,0,3,0,57,57,Female,44,Divorce,Eastern European Canadian,0,3,0,1
Personal Care,Hourly,Hourly,33,21,0,3,0,63,113,Male,56,Married,African Canadian,0,9,1,1
Personal Care,Hourly,Hourly,33,21,0,7,0,147,147,Male,52,Married,African Canadian,1,8,1,0
Personal Care,Hourly,Hourly,32,20,0,12,0,240,240,Female,46,Divorce,Eastern European Canadian,0,0,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,17.5,21.5,0,4,0,86,86,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,35,21,0,4,0,84,84,Female,59,Married,Middle Eastern Canadian,1,1,0,1
Post Operative Care,Hourly,Hourly,35,21,0,5,0,105,105,Female,69,Married,Asian Canadian,1,12,0,1
Live-In,Visit,Visit,352,224,0,1,0,224,224,Female,2,Married,African Canadian,1,5,0,1
Other,Hourly,Hourly,0,30,0,12,0,360,360,Female,48,Married,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,34,21.5,0,10,0,322.5,322.5,Female,45,Married,Asian Canadian,0,2,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
HMAP INCL,Visit,Visit,0,22,0,1,0,22,22,Male,59,Married,Middle Eastern Canadian,1,5,1,1
Personal Care,Hourly,Hourly,40,22,0,5,0,165,165,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,41,20,0,12,0,240,240,Female,69,Married,Asian Canadian,1,12,0,1
Personal Care,Hourly,Hourly,33,20,0,7,0,140,140,Female,46,Divorce,Eastern European Canadian,0,0,0,1
Foot Care,Visit,Visit,60,40,0,1,0,40,40,Female,60,Married,Middle Eastern Canadian,1,10,1,1
Palliative,Hourly,Hourly,40,21,0,12,0,252,252,Male,59,Married,Middle Eastern Canadian,1,5,1,1
Personal Care,Hourly,Hourly,34,20,0,3,0,60,70,Female,44,Unknown,Asian Canadian,1,2,1,1
Personal Care,Hourly,Hourly,33,20,0,4,0,80,80,Male,59,Married,Middle Eastern Canadian,1,5,1,1
Couple Care,Hourly,Hourly,0,1.5,0,8,0,12,12,Female,48,Married,Middle Eastern Canadian,1,1,0,1
Delivery,Visit,15 Min,0,0,0,2,0,0,23.97,Female,76,Married,British Canadian,1,5,0,1
Respite Personal Care,Hourly,Hourly,38,21,0,12,5.25,252,257.25,Female,42,Single,Middle Eastern Canadian,0,0,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,39,21,0,4,0,84,84,Female,57,Married,Middle Eastern Canadian,0,0,1,1
Personal Care,Hourly,Hourly,32,20,0,10,0,200,200,Female,59,Married,Asian Canadian,0,7,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Respite Personal Care,Hourly,Hourly,38,21,0,12,0,252,252,Female,32,Separated,African Canadian,0,1,0,1
Live-In,Visit,Visit,352,224,-1,1,0,224,224,Female,2,Married,African Canadian,1,5,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Supervisory Visit,Hourly,Hourly,60,35,0,3,0,105,173.81,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,35,20,0,4,0,80,87.98,Female,50,Married,Middle Eastern Canadian,0,3,0,1
Personal Care,Hourly,Hourly,33,22,0,8,0,264,264,Female,53,Married,Middle Eastern Canadian,1,6,0,1
Personal Care,Hourly,Hourly,34,21.5,0,10,0,215,215,Female,59,Married,Asian Canadian,0,7,0,1
Live-In,Hourly,Hourly,0,21,0,7,0,147,147,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,17.5,21,0,4,0,84,84,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,41,19,0,12,0,228,228,Female,45,Married,Asian Canadian,1,11,0,1
Palliative,Hourly,Hourly,36,22,0,12,0,264,264,Female,52,Married,Middle Eastern Canadian,0,5,1,1
Personal Care,Hourly,Hourly,17.5,21,0,12,0,252,252,Female,57,Divorce,British Canadian,0,2,1,0
Personal Care,Hourly,Hourly,35,20,0,4,0,80,80,Female,50,Married,Middle Eastern Canadian,0,3,0,1
Personal Care,Hourly,Hourly,35,21,0,4,0,84,84,Female,44,Married,Asian Canadian,0,0,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,33,20,0,3,0,60,60,Female,44,Divorce,Eastern European Canadian,0,3,0,1
Personal Care,Hourly,Hourly,38,21,0,12,0,252,252,Female,53,Unknown,Middle Eastern Canadian,1,4,1,1
Personal Care,Hourly,Hourly,36,22,0,12,0,264,264,Female,60,Unknown,Hispanic or Latino Canadian,0,3,1,0
Foot Care,Visit,Visit,60,45,0,1,0,45,45,Female,60,Married,Middle Eastern Canadian,1,10,1,1
Live-In,Visit,Visit,320,200,0,1,0,200,200,Female,2,Married,African Canadian,1,5,0,1
Personal Care,Hourly,Hourly,41,22,0,13.5,0,297,297,Female,55,Single,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,36,22.5,0,4,0,90,116.07,Female,52,Unknown,British Canadian,1,6,1,1
Personal Care,Hourly,Hourly,28,18,0,5,0,90,90,Male,33,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,36,21,0,4,0,84,84,Female,46,Single,Caribbean Canadian,1,2,0,0
Personal Care,Hourly,Hourly,36,21,0,4,0,84,84,Female,58,Unknown,Middle Eastern Canadian,1,3,1,1
RPNRN Visit,Visit,Visit,140,65,0,1,0,65,65,Male,56,Married,Middle Eastern Canadian,1,3,0,1
Personal Care,Hourly,Hourly,41,20,0,12,0,240,240,Female,69,Married,Asian Canadian,1,12,0,1
Palliative,Hourly,Hourly,38,0,0,12,0,0,0,Male,59,Married,Middle Eastern Canadian,1,5,1,1
Personal Care,Hourly,Hourly,41,20,0,12,0,240,240,Female,69,Married,Asian Canadian,1,12,0,1
Personal Care,Hourly,Hourly,17.5,21.5,0,4,0,86,89.84,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,37,21.5,0,8,0,172,172,Female,44,Divorce,Eastern European Canadian,0,3,0,1
Personal Care,Hourly,Hourly,36,21.5,0,12,0,258,258,Female,53,Married,Middle Eastern Canadian,0,3,1,0
Personal Care,Hourly,Hourly,41,19,0,12,0,228,228,Female,45,Married,Asian Canadian,1,11,0,1
Personal Care,Hourly,Hourly,31,21,0,5,0,105,105,Female,52,Married,Middle Eastern Canadian,0,5,1,1
Personal Care,Hourly,Hourly,35,22,0,4,0,88,88,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,33,20,0,8,0,160,160,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Foot Care,Visit,Visit,60,40,0,1,0,40,83.68,Female,60,Married,Middle Eastern Canadian,1,10,1,1
Personal Care,Hourly,Hourly,38,21,0,4,0,84,84,Female,36,Married,African Canadian,1,2,1,0
Palliative,Hourly,Hourly,44,21,0,4,0,84,84,Female,44,Married,Eastern European Canadian,0,1,0,1
Personal Care,Hourly,Hourly,41,19,0,13.5,0,256.5,256.5,Female,55,Single,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,38,22,0,4,0,88,88,Female,55,Married,Middle Eastern Canadian,0,1,0,1
Personal Care,Hourly,Hourly,31,19,0,12,0,228,228,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Post Operative Care,Hourly,Hourly,40,21,0,12,0,252,252,Male,55,Single,Middle Eastern Canadian,1,3,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Visit,38,21,0,1,0,0,0,Female,53,Unknown,Middle Eastern Canadian,0,2,1,1
Personal Care,Hourly,Hourly,36,20.5,0,12,0,246,246,Female,61,Married,Middle Eastern Canadian,1,2,1,0
Personal Care,Hourly,Hourly,33,20,0,8,0,160,160,Female,44,Divorce,Eastern European Canadian,0,3,0,1
Personal Care,Hourly,Hourly,32,20,0,12,0,240,240,Male,52,Married,African Canadian,1,8,1,0
Personal Care,Hourly,Hourly,38,22,0,4,0,88,88,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
Personal Care,Hourly,Hourly,38,21,0,12,0,252,252,Female,53,Unknown,Middle Eastern Canadian,1,4,1,1
Personal Care,Hourly,Hourly,33,21.5,0,12,0,258,258,Male,40,Married,Asian Canadian,1,11,1,0
Post Operative Care,Hourly,Hourly,37,21,0,12,0,252,252,Female,47,Unknown,Asian Canadian,1,3,1,1
Personal Care,Hourly,Hourly,40,21,0,3.75,0,78.75,78.75,Female,43,Married,Middle Eastern Canadian,0,1,0,1
Personal Care,Hourly,Hourly,32,22,0,8,0,176,176,Female,42,Married,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,36,20,0,4,0,80,80,Female,47,Married,African Canadian,1,4,1,1
Palliative,Hourly,Hourly,38,20,0,12,0,360,360,Female,47,Married,African Canadian,1,4,1,1
Other,Hourly,Hourly,35,0,0,0.25,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,32,20,0,12,0,240,240,Female,52,Unknown,British Canadian,1,6,1,1
Respite Personal Care,Hourly,Hourly,35,20,0,3.5,0,70,70,Female,27,Unknown,African Canadian,1,3,0,1
Personal Care,Hourly,Hourly,32,19,0,8,0,152,152,Female,52,Unknown,British Canadian,1,6,1,1
Personal Care,Hourly,Hourly,33,21,0,12,0,252,252,Male,59,Married,Middle Eastern Canadian,1,5,1,1
Personal Care,Hourly,Hourly,32,20,0,12,0,240,240,Female,46,Divorce,Eastern European Canadian,0,0,0,1
Personal Care,Hourly,Hourly,35,20,0,4,0,80,80,Female,62,Unknown,British Canadian,0,3,0,1
Phone Consult,Hourly,Hourly,35,0,0,0.25,0,0,0,Female,56,Married,Middle Eastern Canadian,0,10,0,1
Palliative,Hourly,Hourly,44,21,0,4,0,84,84,Female,44,Married,Eastern European Canadian,0,1,0,1
Palliative,Hourly,Hourly,35,20,0,8,0,160,160,Male,60,Married,African Canadian,1,3,1,0
Personal Care,Hourly,Hourly,41,21,0,12,0,252,252,Female,45,Married,Asian Canadian,1,11,0,1
Respite Personal Care,Hourly,Hourly,38,21,0,12,0,252,252,Female,54,Married,Middle Eastern Canadian,1,1,0,0
RPNRN Shift,Hourly,Hourly,48,30,0,12,0,360,360,Female,49,Separated,Middle Eastern Canadian,1,4,1,1
Post Operative Care,Hourly,Hourly,38,21.5,0,12,0,258,258,Female,73,Unknown,Caribbean Canadian,1,3,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,41,22,0,12,0,264,264,Female,55,Single,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,36,21.5,0,12,0,258,258,Female,52,Married,Middle Eastern Canadian,0,5,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Palliative,Hourly,Hourly,36,21,0,8,0,252,252,Male,52,Married,African Canadian,1,8,1,0
Personal Care,Hourly,Hourly,34,20,0,3,0,60,70,Female,44,Unknown,Asian Canadian,1,2,1,1
Personal Care,Hourly,Hourly,38,21.5,0,4,0,86,86,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,36,22,0.5,12,11,264,275,Female,60,Unknown,Hispanic or Latino Canadian,0,3,1,0
Personal Care,Hourly,Hourly,41,21,0,9,0,189,189,Female,52,Married,Middle Eastern Canadian,0,5,1,1
Personal Care,Hourly,Hourly,40,21,0,12,42,252,294,Female,38,Married,Middle Eastern Canadian,0,2,1,1
Palliative,Hourly,Hourly,34.5,19,0,8,0,152,152,Female,47,Married,African Canadian,1,4,1,1
Personal Care,Hourly,Hourly,33,21,0,12,0,252,252,Male,59,Married,Middle Eastern Canadian,1,5,1,1
Personal Care,Hourly,Hourly,31,19,0,7,0,133,133,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,36,0,0,9.48,0,0,0,Female,46,Married,British Canadian,1,3,0,1
Respite Personal Care,Hourly,Hourly,40,21,0,1,0,21,21,Female,38,Married,Middle Eastern Canadian,0,2,1,1
Personal Care,Hourly,Hourly,40,21,0,4,0,84,84,Female,59,Married,Middle Eastern Canadian,1,1,0,1
Personal Care,Hourly,Hourly,32,21,0,12,0,252,252,Male,40,Married,Asian Canadian,1,11,1,0
Personal Care,Hourly,Hourly,33,22,0,8,0,176,176,Female,42,Married,Middle Eastern Canadian,1,5,0,1
Other,Visit,Visit,130,50,0,1,0,50,50,Female,55,Single,Middle Eastern Canadian,1,5,0,1
Respite Personal Care,Hourly,Hourly,38,21.5,0,5,0,107.5,107.5,Male,56,Married,African Canadian,0,9,1,1
Personal Care,Hourly,Hourly,35,20,0,4,0,80,90.5,Female,50,Married,Middle Eastern Canadian,0,3,0,1
Personal Care,Hourly,Hourly,36,21.5,0,11,0,236.5,236.5,Male,56,Married,African Canadian,0,9,1,1
Personal Care,Hourly,Hourly,32,20,0,12,0,240,240,Male,52,Married,African Canadian,1,8,1,0
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,33,21,0,3,0,63,63,Male,59,Married,Middle Eastern Canadian,1,5,1,1
Personal Care,Hourly,Hourly,35,21.5,0,4,0,86,86,Female,44,Divorce,Eastern European Canadian,0,3,0,1
Personal Care,Hourly,Hourly,32,18,0,12,0,216,216,Female,54,Married,Caribbean Canadian,1,5,0,1
Personal Care,Hourly,Hourly,35,21.5,0,12,0,258,258,Female,55,Married,Caribbean Canadian,0,4,1,0
Personal Care,Hourly,Hourly,32,20,0,10,0,200,200,Female,59,Married,Asian Canadian,0,7,0,1
Personal Care,Hourly,Hourly,31,21,0,12,0,252,252,Male,55,Single,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,32.5,18,0,12,0,216,216,Female,52,Married,African Canadian,0,2,1,1
Personal Care,Hourly,Hourly,38,21,0,12,0,252,252,Female,51,Married,Middle Eastern Canadian,1,2,0,1
Personal Care,Hourly,Hourly,37,21,0,4,0,84,84,Female,53,Married,Middle Eastern Canadian,0,3,1,0
Palliative,Hourly,Hourly,35,20,0,10,0,200,200,Male,60,Married,African Canadian,1,3,1,0
Personal Care,Hourly,Hourly,41,19,0,12,0,228,228,Female,45,Married,Asian Canadian,1,11,0,1
Personal Care,Hourly,Hourly,33,21,0,12,0,252,252,Male,59,Married,Middle Eastern Canadian,1,5,1,1
Personal Care,Hourly,Hourly,36,21,0,12,26.25,252,278.25,Female,41,Married,African Canadian,0,1,1,0
Personal Care,Hourly,Hourly,37,22.5,0,4,0,90,90,Male,55,Single,Middle Eastern Canadian,1,3,1,1
Palliative,Hourly,Hourly,35,20,0,8,0,160,160,Female,52,Married,Middle Eastern Canadian,0,5,1,1
Personal Care,Hourly,Hourly,32,19,0,12,0,228,228,Female,43,Single,Middle Eastern Canadian,0,1,1,1
Personal Care,Hourly,Hourly,32.5,0,0,9,0,0,0,Female,52,Married,African Canadian,0,2,1,1
Personal Care,Hourly,Hourly,33,18,0,12,0,216,216,Male,59,Married,Middle Eastern Canadian,1,5,1,1
Personal Care,Hourly,Hourly,32,20,0,10,0,200,200,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,36,21.5,0,5,0,107.5,107.5,Female,52,Married,Middle Eastern Canadian,0,5,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Foot Care,Visit,Visit,60,40,0,1,0,40,61,Female,60,Married,Middle Eastern Canadian,1,10,1,1
Personal Care,Hourly,Hourly,32,20,0,12,0,240,240,Male,56,Married,African Canadian,0,9,1,1
Foot Care,Visit,Visit,60,45,0,1,0,45,45,Female,60,Married,Middle Eastern Canadian,1,10,1,1
Personal Care,Hourly,Hourly,36,22.5,0,5,0,112.5,124.02,Male,55,Single,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,31,20,0,12,0,240,240,Female,51,Married,Middle Eastern Canadian,0,6,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,35,19,0,4,0,76,76,Female,28,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,38,21.5,0,4,0,86,86,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
Personal Care,Hourly,Hourly,37,22.5,0,9.5,0,213.75,213.75,Male,55,Single,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,36,24,0,12,0,288,288,Female,66,Married,Caribbean Canadian,0,3,1,1
Personal Care,Hourly,Hourly,35,20.5,0,4,0,82,82,Female,58,Unknown,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,35,17,0,11,0,187,187,Female,34,Married,African Canadian,1,5,1,1
Personal Care,Hourly,Hourly,36,0,0,3.98,0,0,0,Female,42,Married,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,40,22,0,5,0,110,110,Female,57,Divorce,British Canadian,0,2,1,0
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Respite Personal Care,Hourly,Hourly,38,20.5,0,4,0,82,82,Female,48,Unknown,Middle Eastern Canadian,1,1,0,1
Phone Consult,Hourly,Hourly,35,21,0,0.25,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,33,22,0,14.5,0,319,319,Female,47,Married,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,38,22,0,12,0,264,264,Female,55,Married,Middle Eastern Canadian,0,1,0,1
Personal Care,Hourly,Hourly,35,21,0,12,0,252,252,Female,53,Unknown,Middle Eastern Canadian,1,4,1,1
Live-In,Visit,Visit,207,135,0,1,0,135,135,Female,2,Married,African Canadian,1,5,0,1
Personal Care,Hourly,Hourly,35,21,0,3,0,63,63,Female,51,Married,Middle Eastern Canadian,0,6,0,1
PSW Visit,Visit,Visit,50,30,0,1,0,30,40,Male,52,Married,African Canadian,1,8,1,0
Personal Care,Hourly,Hourly,35,21,0,5,0,105,105,Female,69,Married,Asian Canadian,1,12,0,1
